word,count
and,10593
the,7129
to,6976
in,5803
a,5440
of,3320
his,3060
with,3060
as,2125
for,2009
on,1744
at,1721
but,1575
has,1478
he,1471
is,1460
good,1367
games,1247
ball,1041
not,1018
can,950
speed,878
an,838
up,828
played,796
be,779
when,771
2013,770
average,760
will,749
hands,744
was,740
off,711
ability,646
out,643
size,626
from,621
after,619
all,612
game,585
him,585
body,583
run,570
team,566
2012,564
well,564
more,557
that,541
tackles,536
season,535
very,535
frame,523
too,518
get,502
nfl,497
yards,496
by,493
started,475
career,467
play,460
strength,455
plays,454
2011,452
lacks,450
or,447
does,445
needs,445
than,427
some,425
adequate,423
shows,416
strong,410
high,399
coverage,398
field,389
two,388
13,386
12,383
quick,381
first,380
flashes,378
pass,370
into,361
burst,360
down,360
big,352
school,349
back,345
against,340
power,340
have,338
make,337
three,336
also,333
could,333
who,332
arms,325
over,325
long,324
line,321
2010,319
level,318
quickness,318
blocks,316
injury,316
gets,314
defenders,313
length,311
position,311
one,309
1,307
defensive,307
doesn't,307
better,303
catch,293
through,291
it,286
times,285
skills,278
this,274
state,273
quickly,272
feet,269
most,269
much,269
senior,269
player,268
seasons,267
football,264
job,263
natural,263
second,263
missed,262
are,257
control,257
starts,255
receiver,254
time,254
work,253
starting,247
contact,246
top-end,246
while,246
teams,244
above-average,243
had,243
ideal,235
no,235
playing,235
year,233
awareness,231
runner,231
balance,229
blocker,228
enough,226
zone,226
physical,224
outside,222
athletic,221
best,221
hand,215
instincts,215
tough,215
however,214
vs,213
during,212
often,209
tackle,208
initial,207
running,207
pick,206
experience,205
overall,202
edge,200
blockers,199
due,199
inside,199
above,196
weight,196
10,195
like,195
production,194
improve,193
point,193
elite,192
excellent,191
height,191
end,190
four,190
11,189
possesses,189
route,189
tackler,189
first-team,187
only,187
receivers,187
bulk,186
athlete,183
effort,183
shoulder,183
just,182
linebacker,182
starter,182
before,181
quarterback,181
college,180
runs,180
short,180
limited,179
man,178
sacks,178
effective,177
which,175
left,174
still,174
catches,173
arm,172
14,171
defender,171
touchdowns,171
did,170
explosive,169
passes,169
space,169
takes,167
struggles,165
routes,164
agility,163
ground,163
throws,163
eyes,162
tight,162
top,161
away,160
led,160
consistently,159
selection,158
hard,157
looks,157
freshman,155
including,155
moves,154
range,154
athleticism,153
hips,153
many,153
bowl,152
move,152
special,150
3,148
inconsistent,148
makes,148
safety,148
area,147
pro,146
junior,145
room,144
closing,142
loss,142
offensive,142
right,141
9,140
if,140
rusher,140
he's,139
attack,138
around,137
knee,137
rushing,137
angles,136
leverage,134
made,134
2,133
bigger,133
do,133
potential,132
take,132
combine,131
pursuit,131
late,130
middle,130
aggressive,129
all-american,129
breaks,129
head,129
outstanding,129
press,129
snap,129
rush,128
set,128
early,127
return,127
role,127
scrimmage,127
draft,125
making,125
nice,125
2009,124
last,124
past,124
traffic,124
below,123
develop,123
lateral,123
lower,123
receiving,123
durability,122
technique,122
vision,121
rob,120
showing,120
always,119
bit,119
rang,119
solid,119
build,118
easily,118
impressive,118
toughness,118
traits,118
8',117
final,117
highly,117
five,116
part,116
would,116
both,115
second-team,115
side,114
where,114
use,113
redshirted,112
start,112
consistent,111
create,111
himself,111
prospect,111
though,111
scheme,110
step,110
wide,110
anticipation,109
working,109
fluid,107
caught,106
miss,106
scouts,106
small,106
cornerback,105
foot,105
suffered,105
win,104
injuries,103
lot,102
quality,102
been,101
behind,101
character,101
competitive,101
next,101
separation,101
acceleration,100
surgery,100
ankle,99
low,99
once,99
receptions,99
soft,99
upper,99
despite,98
productive,98
six,98
years,98
break,97
ethic,97
every,97
forced,97
slot,97
uses,97
all-big,96
feel,96
interceptions,96
keep,96
throughout,96
anchor,95
double,94
downfield,94
finished,94
heavy,94
nine,94
corner,93
stronger,93
8,92
following,92
lean,92
4,91
captain,91
combination,91
drop,91
father,91
open,91
record,91
coaches,90
florida,90
tape,90
cuts,89
defense,89
gives,89
seven,89
track,89
carries,88
eight,88
front,88
may,88
must,88
need,88
recognition,88
see,88
straight-line,88
active,87
displays,87
improved,87
leading,87
stay,87
brugler,86
fast,86
flexibility,86
powerful,86
show,86
TRUE,86
vertical,86
dane,85
finishing,85
willing,85
legs,84
prototypical,84
son,84
spring,84
5,83
action,83
day,83
focus,83
hold,83
should,83
thick,83
leaping,82
support,82
suspended,82
turn,82
air,81
durable,81
footwork,81
great,81
smooth,81
cover,80
drops,80
honors,80
bend,79
catching,79
cut,79
guard,79
honorable,79
mention,79
target,79
versatile,79
deep,78
easy,78
getting,78
jump,78
teammates,78
two-time,78
built,77
i,77
leader,77
light,77
multiple,77
offense,77
transition,77
backfield,76
earning,76
lack,76
marginal,76
stand,76
tracks,76
asked,75
base,75
coach,75
occasionally,75
pads,75
raw,75
able,74
become,74
history,74
passing,74
pounds,74
slightly,74
sophomore,74
about,73
backs,73
carolina,73
comes,73
competition,73
concerns,73
what,73
all-acc,72
keeps,72
movement,72
pocket,72
reliable,72
way,72
concern,71
earn,71
fluidity,71
physicality,71
shoulders,71
t,71
works,71
award,70
half,70
handle,70
issues,70
them,70
adjust,69
former,69
free,69
protection,69
qb,69
2014,68
change,68
coming,68
especially,68
lead,68
look,68
so,68
south,68
type,68
versatility,68
developing,67
smaller,67
under,67
come,66
motor,66
occasion,66
practice,66
recruit,66
threat,66
appears,65
drive,65
hit,65
patience,65
possess,65
being,64
frequently,64
gear,64
go,64
pad,64
playmaking,64
situations,64
32,63
beat,63
even,63
finish,63
given,63
isn't,63
showed,63
tends,63
extra,62
issue,62
per,62
returner,62
7,61
any,61
discipline,61
few,61
forward,61
little,61
redirect,61
rushers,61
since,61
upside,61
wrap,61
40,60
continue,60
coordination,60
fit,60
fumbles,60
rather,60
short-area,60
third,60
41702,59
capable,59
close,59
earned,59
locate,59
new,59
pop,59
punch,59
fumble,58
muscular,58
reads,58
ten,58
their,58
week,58
returned,57
undersized,57
west,57
30,56
41732,56
alabama,56
all-sec,56
broad,56
lsu,56
struggle,56
tall,56
texas,56
underneath,56
vertically,56
how,55
moved,55
downhill,54
gain,54
result,54
spot,54
balls,53
home,53
learn,53
tightness,53
33,52
34,52
lose,52
match,52
named,52
round,52
smart,52
there,52
touchdown,52
confident,51
core,51
extremely,51
hits,51
interception,51
never,51
offers,51
quicker,51
separate,51
shed,51
style,51
sustain,51
torn,51
appeared,50
box,50
contested,50
didn't,50
each,50
radius,50
violent,50
2012-13,49
31,49
basketball,49
ends,49
explosiveness,49
flexible,49
impact,49
misc,49
shorter,49
steps,49
struggled,49
terms,49
terrific,49
blocking,48
center,48
disengage,48
fall,48
family,48
find,48
full,48
locates,48
rookie,48
value,48
because,47
directions,47
give,47
hip,47
kick,47
limitations,47
other,47
pedal,47
pressure,47
security,47
taking,47
talent,47
we,47
acl,46
all-pac-12,46
conference,46
functional,46
having,46
hole,46
lanes,46
open-field,46
savvy,46
significant,46
special-teams,46
suited,46
three-year,46
instead,45
interior,45
ints,45
laterally,45
leaves,45
punt,45
red,45
sack,45
split,45
strides,45
timing,45
wr,45
4',44
another,44
â,44
direction,44
fbs,44
fights,44
gaps,44
hand-eye,44
linemen,44
projects,44
rarely,44
tied,44
25,43
accelerates,43
ballcarrier,43
between,43
chase,43
muscle,43
pluck,43
prove,43
push,43
respected,43
setting,43
sideline,43
similar,43
tools,43
were,43
without,43
allows,42
carry,42
clean,42
compact,42
development,42
extend,42
intriguing,42
leaving,42
massive,42
miami,42
might,42
moving,42
recovery,42
saw,42
sec,42
upfield,42
championship,41
class,41
closes,41
counter,41
going,41
helped,41
leave,41
looking,41
national,41
numbers,41
pass-rush,41
thomas,41
virginia,41
vj,41
balanced,40
became,40
degree,40
initially,40
mirror,40
my,40
north,40
notre,40
oregon,40
pull,40
rare,40
rules,40
teammate,40
then,40
add,39
along,39
de,39
deliver,39
elusiveness,39
gap,39
generate,39
georgia,39
likely,39
own,39
poor,39
proper,39
pros,39
ran,39
release,39
scores,39
sets,39
skill,39
