word,count
and,3197
the,2228
to,2115
a,1707
in,1613
of,978
his,955
with,879
at,620
on,602
as,580
for,554
but,502
is,450
he,443
good,424
games,418
has,402
can,343
not,317
ball,286
up,272
an,265
off,264
played,260
average,246
when,243
2013,239
all,227
was,220
will,218
nfl,204
speed,203
from,201
after,196
game,193
be,191
out,191
started,190
hands,182
that,173
yards,172
strength,169
very,169
2012,165
career,164
get,161
ability,158
season,156
by,154
well,154
arm,149
defenders,149
him,147
more,144
level,140
or,138
plays,138
blocker,136
field,136
line,135
play,135
too,135
13,134
team,134
frame,133
tackle,131
does,128
body,127
2011,126
second,126
than,125
adequate,123
into,123
size,122
against,121
high,121
throws,121
football,119
run,118
who,118
doesn't,117
school,117
strong,117
could,115
2010,110
left,109
first,108
make,107
senior,106
lacks,105
two,105
gets,104
tough,103
enough,102
down,101
position,101
shows,101
some,101
injury,100
most,100
quick,100
tight,100
big,98
have,98
job,98
starter,98
also,97
pass,97
needs,96
starting,96
better,94
pocket,94
state,94
defensive,93
quickness,91
work,91
end,90
length,88
12,87
offensive,87
player,87
1,86
tackles,86
through,86
blocks,84
feet,84
guard,84
power,84
athletic,82
flashes,82
right,82
times,82
arms,81
back,81
it,81
missed,80
one,80
while,80
ideal,78
over,78
time,77
hand,76
are,75
passes,75
inside,74
pick,74
initial,73
2009,72
3,72
contact,72
control,72
no,72
top-end,72
three,71
14,70
move,70
much,70
only,69
accuracy,68
college,68
balance,67
catch,67
long,67
passing,67
playing,67
bowl,66
many,66
seasons,66
starts,66
struggles,66
year,66
coverage,64
four,64
athlete,63
offense,63
quickly,63
under,63
best,62
height,62
quarterback,62
short,62
above,61
athleticism,61
elite,60
selection,60
10,59
center,59
first-team,59
ground,59
just,59
pro,59
foot,58
top,58
weight,58
edge,57
like,57
placement,57
pressure,57
experience,56
overall,56
effective,55
improve,55
outstanding,55
takes,55
teams,55
possesses,54
bulk,53
inconsistent,53
physical,53
set,53
vs,53
base,52
competitive,52
due,52
snap,52
zone,52
did,51
effort,51
leader,51
limited,51
record,51
take,51
which,51
during,50
head,50
touchdowns,50
awareness,49
consistently,49
drive,49
eyes,49
outside,49
this,49
excellent,48
hard,48
knee,48
linebacker,48
natural,48
durable,47
honorable,47
mention,47
space,47
all-big,46
keeps,46
where,46
deep,45
point,45
production,45
prospect,45
angles,44
he's,44
leg,44
redshirted,44
room,44
works,44
agility,43
captain,43
downfield,43
made,43
often,43
always,42
before,42
defender,42
front,42
if,42
sacks,42
second-team,42
smart,42
9,41
burst,41
catches,41
draft,41
freshman,41
highly,41
however,41
rushers,41
toughness,41
every,40
final,40
history,40
showing,40
ten,40
two-time,40
2,39
adjust,39
blockers,39
combine,39
led,39
release,39
son,39
throwing,39
11,38
anchor,38
attack,38
below,38
despite,38
do,38
footwork,38
looks,38
punch,38
solid,38
ethic,37
instincts,37
late,37
makes,37
once,37
running,37
throw,37
character,36
had,36
himself,36
past,36
reads,36
runner,36
shoulder,36
skills,36
small,36
target,36
4,35
above-average,35
award,35
bit,35
five,35
lateral,35
next,35
rush,35
versatile,35
brother,34
competition,34
create,34
ends,34
range,34
rob,34
route,34
six,34
them,34
working,34
away,33
develop,33
leverage,33
middle,33
rang,33
side,33
still,33
tape,33
years,33
blocking,32
build,32
finish,32
junior,32
lot,32
may,32
potential,32
all-american,31
both,31
father,31
finished,31
handle,31
hips,31
protection,31
scrimmage,31
step,31
wide,31
coach,30
consistent,30
day,30
including,30
injuries,30
moving,30
teammates,30
bend,29
cut,29
early,29
following,29
lower,29
see,29
tall,29
targets,29
uses,29
way,29
action,28
drops,28
great,28
improved,28
marginal,28
mobility,28
nine,28
passer,28
suffered,28
surgery,28
timing,28
been,27
even,27
heavy,27
hold,27
isn't,27
keep,27
legs,27
named,27
open,27
push,27
receiver,27
though,27
traits,27
understands,27
velocity,27
eight,26
forced,26
give,26
last,26
powerful,26
prototypical,26
receivers,26
scouts,26
stay,26
tends,26
their,26
touch,26
all-conference,25
appears,25
around,25
clean,25
concern,25
delivery,25
experienced,25
honors,25
intangibles,25
limitations,25
making,25
need,25
new,25
nice,25
part,25
seven,25
should,25
show,25
technique,25
upper,25
use,25
8,24
accurate,24
acl,24
core,24
earn,24
intelligence,24
lack,24
low,24
miss,24
movement,24
never,24
possess,24
role,24
sets,24
shorter,24
shoulders,24
sound,24
special,24
spring,24
stand,24
sustain,24
talent,24
type,24
50,23
able,23
about,23
any,23
backs,23
block,23
brugler,23
conference,23
dane,23
displays,23
flexibility,23
former,23
functional,23
generate,23
little,23
mirror,23
must,23
onto,23
pursuit,23
quality,23
routes,23
short-to-intermediate,23
straight-line,23
texas,23
willing,23
5,22
anticipation,22
backup,22
breaks,22
change,22
explosive,22
fit,22
four-year,22
getting,22
gives,22
impressive,22
keeping,22
leadership,22
lineman,22
multiple,22
rusher,22
separation,22
sophomore,22
stunts,22
TRUE,22
west,22
win,22
worker,22
would,22
caught,21
comes,21
competitor,21
concerns,21
durability,21
feel,21
linebackers,21
loss,21
pounds,21
qb,21
since,21
slide,21
start,21
tackler,21
threat,21
underneath,21
vision,21
33,20
8',20
area,20
assignments,20
coaches,20
earning,20
extremely,20
finishing,20
florida,20
given,20
half,20
in-line,20
lead,20
light,20
locates,20
man,20
moves,20
percentage,20
pop,20
pro-style,20
productive,20
quarterbacks,20
receiving,20
reliable,20
rushing,20
seal,20
sec,20
throughout,20
torn,20
versatility,20
built,19
bull,19
confident,19
drives,19
earned,19
especially,19
hit,19
holds,19
look,19
murray,19
per,19
picks,19
positioning,19
proper,19
punts,19
records,19
showed,19
soft,19
stronger,19
tds,19
third,19
three-year,19
transfer,19
were,19
whistle,19
won't,19
34,18
40,18
all-sec,18
ankle,18
asked,18
balanced,18
behind,18
being,18
carolina,18
closing,18
easily,18
fast,18
fcs,18
graduated,18
hip,18
how,18
initially,18
notre,18
points,18
rather,18
redirect,18
require,18
respected,18
san,18
smaller,18
snaps,18
so,18
thick,18
week,18
15,17
6,17
active,17
add,17
balls,17
because,17
blitzes,17
capable,17
coming,17
consecutive,17
deliver,17
easy,17
focus,17
go,17
i,17
instinctive,17
intelligent,17
lock,17
michigan,17
misc,17
muscle,17
ohio,17
relatively,17
round,17
scheme,17
seam,17
shown,17
struggle,17
terrific,17
vocal,17
what,17
26,16
7,16
aggressive,16
air,16
alabama,16
all-acc,16
all-pac-12,16
along,16
bad,16
biggest,16
combination,16
dame,16
decision,16
defense,16
developmental,16
each,16
efficient,16
extend,16
extra,16
face,16
finalist,16
finds,16
frequently,16
hits,16
leads,16
league,16
linemen,16
manziel,16
nasty,16
poise,16
press,16
separate,16
slightly,16
system,16
traffic,16
transferred,16
2012-13,15
alert,15
attempts,15
between,15
bigger,15
break,15
broke,15
carries,15
fights,15
guy,15
hang,15
improvement,15
interceptions,15
interior,15
issue,15
lanes,15
major,15
might,15
murphy,15
national,15
opponent,15
percent,15
poor,15
prospects,15
pull,15
recognition,15
spot,15
success,15
te,15
trophy,15
turn,15
2008,14
41702,14
32,14
beat,14
became,14
broken,14
catching,14
certainly,14
craft,14
didn't,14
direction,14
exceptional,14
fbs,14
fluidity,14
intriguing,14
issues,14
leaves,14
mechanics,14
mental,14
motion,14
ncaa,14
occasionally,14
off-balance,14
opponents,14
pre-snap,14
program,14
pros,14
punt,14
quicker,14
recruit,14
rise,14
savvy,14
served,14
several,14
similar,14
single-season,14
situations,14
slow,14
stance,14
surprisingly,14
taking,14
tools,14
touchdown,14
trouble,14
value,14
went,14
whose,14
within,14
20,13
assignment,13
avoid,13
become,13
broad,13
calls,13
coaching,13
come,13
compact,13
continue,13
david,13
full,13
knows,13
matthews,13
mentality,13
moved,13
necessary,13
occasion,13
pads,13
pronounced,13
protect,13
punter,13
punting,13
reach,13
receptions,13
redshirting,13
reserve,13
same,13
shotgun,13
shrine,13
significant,13
stanford,13
steps,13
struggling,13
suited,13
tech,13
total,13
usa,13
versus,13
waist,13
won,13
yet,13
2014,12
36,12
51,12
ap,12
brings,12
championship,12
climbing,12
collegiate,12
community,12
development,12
east,12
example,12
fall,12
falls,12
few,12
find,12
finisher,12
fumbles,12
gain,12
georgia,12
going,12
habits,12
heisman,12
knock,12
lean,12
learn,12
leaving,12
lined,12
lsu,12
medical,12
motor,12
my,12
nation's,12
offers,12
other,12
positional,12
practice,12
primarily,12
ran,12
raw,12
result,12
runs,12
season-ending,12
semifinalist,12
south,12
square,12
stout,12
straight,12
student,12
swivel,12
t,12
temperament,12
took,12
utah,12
vertical,12
wrist,12
19,11
41732,11
49,11
absorb,11
accountable,11
afraid,11
among,11
arizona,11
blitz,11
cannot,11
carr,11
chance,11
country,11
dependable,11
film,11
fires,11
fluid,11
goals,11
gun,11
hardworking,11
having,11
healthy,11
knocked,11
locked,11
long-term,11
looking,11
mauler,11
mike,11
missing,11
mvp,11
niklas,11
overachiever,11
pad,11
pockets,11
projects,11
recover,11
red,11
redshirt,11
relentless,11
returned,11
saw,11
selected,11
slot,11
special-teams,11
staff,11
suffering,11
top-heavy,11
traditional,11
undersized,11
vulnerable,11
weight-room,11
wisconsin,11
wyoming,11
zip,11
24,10
adjusting,10
again,10
approach,10
attention,10
bends,10
bortles,10
boston,10
camp,10
class,10
coachable,10
competitiveness,10
counter,10
cover,10
de,10
decisions,10
degree,10
developed,10
division,10
double,10
drafted,10
east-west,10
eventually,10
eye,10
fair,10
fight,10
finale,10
fly,10
fullback,10
gritty,10
h-back,10
heels,10
help,10
home,10
inline,10
ivy,10
jose,10
jump,10
kicker,10
kickoffs,10
knees,10
lacking,10
lb,10
likely,10
makeup,10
match,10
nearly,10
north,10
nose,10
older,10
pain,10
personal,10
players,10
playmaking,10
prior,10
project,10
ranked,10
relies,10
remain,10
renner,10
serious,10
sink,10
spent,10
spots,10
steer,10
struggled,10
surprising,10
sustained,10
td,10
tendency,10
then,10
underrated,10
underwent,10
using,10
windows,10
winner,10
younger,10
30,9
almost,9
arrested,9
arrived,9
attitude,9
bloodlines,9
clock,9
colorado,9
completion,9
completions,9
derek,9
developing,9
duress,9
duties,9
emerged,9
explode,9
explosion,9
fails,9
fakes,9
fire,9
focused,9
force,9
free,9
fresno,9
future,9
habit,9
helped,9
ideally,9
important,9
iowa,9
iq,9
key,9
large,9
later,9
least,9
lines,9
longer,9
maker,9
march,9
narrow,9
on-field,9
one-on-one,9
overly,9
own,9
passionate,9
pluck,9
primary,9
prove,9
put,9
puts,9
question,9
regularly,9
rhythm,9
richburg,9
rookie,9
rules,9
rutgers,9
scholarship,9
short-area,9
slides,9
slip,9
smith,9
smooth,9
spread,9
